1,2,3
3,2,3.75
4,3,2.5
5,4,3.5
6,5,6
7,6,5.75
8,9,1.5
9,10,1.25
10,11,1.5
12,13,1.5
13,14,6
14,15,4
16,17,1.25
17,18,1.25
18,19,1.5
20,21,1.25
21,22,1.25
22,23,2.25
23,24,1
24,25,4.25
25,26,2.75
27,28,1.25
28,29,1.25
29,30,2.25
30,31,1.5
31,32,2.25
32,33,2.75
34,35,2
35,36,2.75
36,37,2.25
37,38,4.75
38,39,6.5
40,41,2.25
41,42,4.5
42,43,5.5
43,44,10.875
44,45,13.375
46,47,2
48,49,2.75
49,50,4.5
50,51,5.75
51,52,10.75
53,54,2.5
55,54,3.25
56,55,3.75
57,56,6.75
58,57,9
59,60,2.5
1,8,1.5
8,16,1
16,20,1.25
20,27,1
27,34,1.25
34,40,1.75
40,46,1.25
46,48,1.75
48,53,2
2,9,1.75
9,17,1
17,21,1.5
21,28,1
3,10,1.5
10,18,1.25
18,22,1.5
22,29,2
29,35,1.5
35,41,3.25
41,47,3
47,49,3.5
49,54,3.75
4,11,1.75
11,12,1.75
12,19,1.25
19,23,1.25
23,30,2
30,36,1.75
36,42,3.25
42,50,6.25
50,55,4
55,59,3
13,5,4.25
24,13,3.25
31,24,2
37,31,1.75
43,37,5.25
51,43,10.75
56,51,5.875
60,56,5.75
6,14,6
14,25,4
25,32,3
32,38,2
38,44,9.25
44,52,14.75
57,52,4.5
61,56,6.25
61,57,3.75
7,15,4
15,26,2.25
26,33,2.25
33,39,2
39,45,6.5
45,58,10.625
58,61,2.75
